#,origin,destination,flow
0,22400,13215,1
1,36985,1809,1
2,36801,18227,1
3,16754,16282,1
4,5107,34475,1
5,3605,24836,1
6,8190,12726,1
7,11884,13648,1
8,23931,14745,1
9,17624,16231,1
10,5151,9166,1
11,783,21320,1
12,11251,11446,1
13,28083,5495,1
14,5343,30514,1
15,25402,27719,1
16,16229,4229,1
17,32545,3671,1
18,9515,17568,1
19,10498,10472,1
20,10499,20673,1
21,25457,5205,1
22,32971,5205,1
23,33872,38967,1
24,31426,6364,1
25,25187,2581,1
26,25848,19685,1
27,25001,7526,1
28,17158,20628,1
29,32936,10476,1
30,29529,28509,1
31,19371,20553,1
32,19353,20548,1
33,27821,23587,1
34,6609,36242,1
35,35546,14395,1
36,37454,21732,1
37,14827,9241,1
38,8013,3563,1
39,14167,1513,1
40,14022,13613,1
41,16396,28887,1
42,11645,23090,1
43,11033,25004,1
44,3324,14733,1
45,20256,6017,1
46,9404,27294,1
47,13970,26294,1
48,20102,9292,1
49,20090,8455,1
50,37476,30147,1
51,7705,25272,1
52,28300,21945,1
53,17104,25482,1
54,33737,36381,1
55,19838,4747,1
56,31290,4751,1
57,19610,4629,1
58,24651,19139,1
59,27482,16219,1
60,5276,8679,1
61,39792,16914,1
62,12907,12474,1
63,23248,15810,1
64,28706,13891,1
65,40300,35550,1
66,14051,24728,1
67,27698,2012,1
68,31259,28760,1
69,19255,8908,1
70,4249,10029,1
71,27110,28002,1
72,33864,10368,1
73,18830,5344,1
74,33261,20628,1
75,19685,28188,1
76,33261,19371,1
77,16535,29536,1
78,25030,30638,1
79,23860,22080,1
80,8784,35386,1
81,31265,35382,1
82,35977,1842,1
83,25392,17787,1
84,1839,15090,1
85,10327,18057,1
86,36243,22273,1
87,30052,23106,1
88,19394,20035,1
89,14470,34285,1
90,12015,26613,1
91,13847,7782,1
92,27519,11450,1
93,6381,23379,1
94,25030,11452,1
95,5165,29531,1
96,23105,13624,1
97,3263,13192,1
98,23105,13205,1
99,4733,22324,1
100,7461,22336,1
101,16937,35802,1
102,41241,24620,1
103,25845,32825,1
104,17190,23299,1
105,16278,1083,1
106,23415,10726,1
107,15258,11802,1
108,32073,26122,1
109,32126,27719,1
110,2408,5681,1
111,6860,17042,1
112,10472,10766,1
113,11925,7460,1
114,1981,11129,1
115,35551,38492,1
116,40065,31603,1
117,26750,4566,1
118,36175,23021,1
119,36176,16993,1
120,7635,17026,1
121,6163,36803,1
122,22208,31338,1
123,11708,11923,1
124,28377,28082,1
125,19831,32128,1
126,38187,15252,1
127,8570,36807,1
128,17294,20257,1
129,37687,11932,1
130,7699,7561,1
131,6800,19731,1
132,1375,23592,1
133,11543,39535,1
134,41214,16344,1
135,17612,6077,1
136,17051,23699,1
137,17051,34909,1
138,17051,858,1
139,34056,23627,1
140,34629,22920,1
141,24239,16431,1
142,14715,37226,1
143,19731,37453,1
144,31611,7060,1
145,20307,19037,1
146,10514,30305,1
147,20429,2317,1
148,20050,12106,1
149,13979,37849,1
150,9670,36053,1
151,17209,13653,1
152,3263,30116,1
153,12449,17219,1
154,41346,31158,1
155,25011,19086,1
156,17287,28245,1
157,30282,41729,1
158,886,5739,1
159,20271,19407,1
160,28890,27445,1
161,23631,14680,1
162,23931,10489,1
163,38003,16191,1
164,21777,28681,1
165,29055,27520,1
166,32206,5355,1
167,29483,40389,1
168,24239,36122,1
169,38460,24141,1
170,30513,6612,1
171,8460,38061,1
172,38849,18702,1
173,8459,26557,1
174,24905,11575,1
175,28296,6024,1
176,21719,6024,1
177,18847,8785,1
178,13472,26154,1
179,14366,5961,1
180,22827,28086,1
181,16378,35198,1
182,31211,26363,1
183,23105,4709,1
184,27782,8904,1
185,40433,3726,1
186,4838,24774,1
187,16336,34682,1
188,17902,9452,1
189,17584,21513,1
190,34045,11807,1
191,16224,7085,1
192,16490,5777,1
193,35802,28810,1
194,11452,6313,1
195,5378,28563,1
196,8027,19142,1
197,9502,36214,1
198,13620,10643,1
199,19360,19782,1
200,33742,31211,1
201,14826,16222,1
202,9244,17193,1
203,7073,23376,1
204,24147,3078,1
205,873,7790,1
206,8451,1588,1
207,35347,1588,1
208,13918,25098,1
209,19139,41431,1
210,17189,20466,1
211,16218,22336,1
212,10217,13204,1
213,30795,22413,1
214,37481,22413,1
215,24996,2400,1
216,2058,14877,1
217,21700,22319,1
218,23437,17190,1
219,26574,34816,1
220,33279,3223,1
221,17042,35332,1
222,58,37967,1
223,16233,12070,1
224,24615,4719,1
225,16423,28802,1
226,16374,16974,1
227,35619,22062,1
228,26509,30498,1
229,9244,32870,1
230,13447,2009,1
231,31274,6022,1
232,3990,28733,1
233,8745,1140,1
234,11793,19901,1
235,9617,16962,1
236,32672,14435,1
237,7123,23621,1
238,17778,23214,1
239,4084,10971,1
240,14463,11455,1
241,8748,37129,1
242,33712,23376,1
243,28799,25556,1
244,5338,11406,1
245,39103,11326,1
